full_team_name,team_name,real_team_name,league_id,league_name,team_id,division_id,division_name,division_full_name,conference_id,conference_name,conference_full_name,league,team_league_id,city_name,state_name,country,stadium_id,logo_filename
Minnesota_Vikings,minnesota_vikings,Minnesota Vikings,4,nfl,1098,124,North, NFC North,110,NFC, National Football Conference,NFL,124,minneapolis,mn,us,235,minnesota_vikings_logo.png
Atlanta_Falcons,atlanta_falcons,Atlanta Falcons,4,nfl,1011,125,South, NFC South,110,NFC, National Football Conference,NFL,125,atlanta,ga,us,182,atlanta_falcons_logo.png
Carolina_Panthers,carolina_panthers,Carolina Panthers,4,nfl,1025,125,South, NFC South,110,NFC, National Football Conference,NFL,126,charlotte,nc,us,113,carolina_panthers_logo.png
New_Orleans_Saints,new_orleans_saints,New Orleans Saints,4,nfl,1107,125,South, NFC South,110,NFC, National Football Conference,NFL,127,new_orleans,la,us,122,new_orleans_saints_logo.png
Tampa_Bay_Buccaneers,tampa_bay_buccaneers,Tampa Bay Buccaneers,4,nfl,1153,125,South, NFC South,110,NFC, National Football Conference,NFL,128,tampa_bay,fl,us,206,tampa_bay_buccaneers_logo.png
Arizona_Cardinals,arizona_cardinals,Arizona Cardinals,4,nfl,1007,126,West, NFC West,110,NFC, National Football Conference,NFL,129,glendale,az,us,223,arizona_cardinals_logo.png
Los_Angeles_Rams,los_angeles_rams,Los Angeles Rams,4,nfl,1086,126,West, NFC West,110,NFC, National Football Conference,NFL,130,los_angeles,ca,us,218,los_angeles_rams_logo.png
San_Francisco_49Ers,san_francisco_49ers,San Francisco 49ers,4,nfl,1140,126,West, NFC West,110,NFC, National Football Conference,NFL,131,san_francisco,ca,us,173,san_francisco_49ers_logo.png
Seattle_Seahawks,seattle_seahawks,Seattle Seahawks,4,nfl,1146,126,West, NFC West,110,NFC, National Football Conference,NFL,132,seattle,wa,us,179,seattle_seahawks_logo.png
NHL,nhl,National Hockey League,5,nhl,1004,127,UA,Unaffiliated,111,UA,Unaffiliated,NHL,100,new_york,ny,us,,nhl_logo.png
Boston_Bruins,boston_bruins,Boston Bruins,5,nhl,1017,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,101,boston,ma,us,230,boston_bruins_logo.png
Buffalo_Sabres,buffalo_sabres,Buffalo Sabres,5,nhl,1022,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,102,buffalo,ny,us,169,buffalo_sabres_logo.png
Detroit_Red_Wings,detroit_red_wings,Detroit Red Wings,5,nhl,1056,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,103,detroit,mi,us,175,detroit_red_wings_logo.png
Florida_Panthers,florida_panthers,Florida Panthers,5,nhl,1061,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,104,miami,fl,us,104,florida_panthers_logo.png
Montreal_Canadiens,montreal_canadiens,Montreal Canadiens,5,nhl,1100,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,105,montreal,qc,ca,116,montreal_canadiens_logo.png
Ottawa_Senators,ottawa_senators,Ottawa Senators,5,nhl,1122,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,106,ottawa,on,ca,124,ottawa_senators_logo.png
Tampa_Bay_Lightning,tampa_bay_lightning,Tampa Bay Lightning,5,nhl,1154,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,107,tampa_bay,fl,us,117,tampa_bay_lightning_logo.png
Toronto_Maple_Leafs,toronto_maple_leafs,Toronto Maple Leafs,5,nhl,1160,128, Atlantic, Atlantic,112,Eastern, Eastern Conference,NHL,108,toronto,on,ca,213,toronto_maple_leafs_logo.png
Carolina_Hurricanes,carolina_hurricanes,Carolina Hurricanes,5,nhl,1024,129,Metropolitan, Metropolitan,112,Eastern, Eastern Conference,NHL,109,raleigh,nc,us,172,carolina_hurricanes_logo.png
Columbus_Blue_Jackets,columbus_blue_jackets,Columbus Blue Jackets,5,nhl,1044,129,Metropolitan, Metropolitan,112,Eastern, Eastern Conference,NHL,110,columbus,oh,us,188,columbus_blue_jackets_logo.png
New_Jersey_Devils,new_jersey_devils,New Jersey Devils,5,nhl,1105,129,Metropolitan, Metropolitan,112,Eastern, Eastern Conference,NHL,111,newark,nj,us,203,new_jersey_devils_logo.png
New_York_Islanders,new_york_islanders,New York Islanders,5,nhl,1110,129,Metropolitan, Metropolitan,112,Eastern, Eastern Conference,NHL,112,new_york,ny,us,236,new_york_islanders_logo.png
